Exchange,Crypto ID,Cantidad en el Exchange (USD)
Binance,batcat,3172389593.0
Binance,bridged-binance-peg-ethereum-opbnb,2954334004.0
Binance,beam-bridged-usdc-beam,1157090018.0
Binance,bridged-wrapped-bitcoin-manta-pacific,20915922.0
Binance,solana,1815563854.0
Binance,binancecoin,711804507.0
Binance,binance-peg-dogecoin,615104144.0
Binance,book-of-meme,213536744.0
Binance,wrapped-beacon-eth,14248542.0
Binance,dogwifcoin,206813807.0
Binance,binance-peg-xrp,324623665.0
Binance,fetch-ai,74082284.0
Binance,sui,94636632.0
Binance,apidae,46452396.0
Binance,near,117554561.0
Binance,ordinals,96257625.0
Binance,worldcoin-wld,123149840.0
Binance,jupiter,43837625.0
Binance,fantom,67877185.0
Binance,arbitrum,71162476.0
Binance,binance-peg-bitcoin-cash,58597826.0
Binance,chainlink,63431382.0
Binance,avalanche-2,100747262.0
Binance,ada-the-dog,82777226.0
Binance,omni,300010967.0
Binance,binance-peg-filecoin,58565029.0
Binance,bridged-matic-manta-pacific,55567523.0
Binance,render-token,91168560.0
Binance,arbitrum-bridged-usdt-arbitrum,7687237.0
Binance,runebound,104137343.0
Binance,niccagewaluigielmo42069inu,154774470.0
Binance,sei-network,38825007.0
Binance,internet-computer,38746137.0
Binance,paxos-standard,1682087.0
Binance,pendle,62302755.0
Binance,tensor,37368607.0
Binance,ether-fi,75604452.0
Binance,meme-brc-20,18853643.0
Binance,tron,53809738.0
Binance,singularitynet,25912212.0
Binance,floki,49225129.0
Binance,jito-governance-token,32854269.0
Binance,bridged-trueusd,4042370.0
Binance,injective-protocol,64111092.0
Binance,blockstack,33840000.0
Binance,gala,39682244.0
Binance,pyth-network,14013074.0
Binance,ethena,302979256.0
Binance,yield-guild-games,32049634.0
Binance,starknet,32391028.0
Binance,ethereum-classic,33849240.0
Binance,optimism,40145513.0
Binance,chiliz,28153080.0
Binance,binaryx,21544354.0
Binance,pixels,31822896.0
Binance,arweave,19827556.0
Binance,oasis-network,9768938.0
Binance,binance-peg-polkadot,32054473.0
Binance,maker,41069497.0
Binance,nervos-network,30361405.0
Binance,terra-luna-2,9799556.0
Binance,cosmos,19844705.0
