Coin ID,Capitalización total de mercado (market cap),Categorías
0x0-ai-ai-smart-contract,254680974.0,"['Artificial Intelligence (AI)', 'Privacy Coins', 'Ethereum Ecosystem']"
0xdefcafe,0.0,"['Artificial Intelligence (AI)', 'Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'MEV Protection', 'Ethereum Ecosystem']"
1000troll,0.0,['Meme']
-2,17786.5,"['Meme', 'Ethereum Ecosystem']"
2dai-io,2110874.0,"['Telegram Apps', 'Artificial Intelligence (AI)', 'Virtual Reality', 'NFT', 'Ethereum Ecosystem']"
-3,0.0,"['Cat-Themed Coins', 'Meme', 'Ethereum Ecosystem']"
3d3d,31309.0,"['Meme', 'Ethereum Ecosystem']"
3dpass,0.0,"['Layer 1 (L1)', 'Real World Assets (RWA)']"
4chan,0.0,"['Meme', 'Ethereum Ecosystem']"
aardvark,0.0,"['Meme', 'Ethereum Ecosystem']"
aardvark-2,0.0,"['Meme', 'Ethereum Ecosystem']"
aavegotchi,106594115.0,"['Layer 3 (L3)', 'Gaming Utility Token', 'Gaming Governance Token', 'Gaming (GameFi)', 'Governance', 'NFT', 'Metaverse', 'Play To Earn', 'Polygon Ecosystem', 'Collectibles', 'Gotchiverse', 'Ethereum Ecosystem']"
aavegotchi-alpha,161456.0,"['Gaming (GameFi)', 'NFT', 'Metaverse', 'Polygon Ecosystem', 'Gotchiverse']"
aavegotchi-fomo,152648.0,"['Gaming (GameFi)', 'NFT', 'Metaverse', 'Polygon Ecosystem', 'Gotchiverse']"
aavegotchi-fud,166003.0,"['Gaming (GameFi)', 'NFT', 'Metaverse', 'Polygon Ecosystem', 'Gotchiverse']"
aavegotchi-kek,212266.0,"['Gaming (GameFi)', 'NFT', 'Metaverse', 'Play To Earn', 'Polygon Ecosystem', 'Gotchiverse']"
achi-inu,0.0,"['Dog-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
ada-peepos,0.0,"['Cardano Ecosystem', 'Meme']"
adapt3r-digital-treasury-bill-fund,,"['Tokenized Treasury Bills (T-Bills)', 'Ethereum Ecosystem', 'Real World Assets (RWA)']"
ada-the-dog,0.0,"['Dog-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
advantis,0.0,"['Telegram Apps', 'Discord Bots', 'Artificial Intelligence (AI)', 'Ethereum Ecosystem']"
aegis-ai,15884179.0,"['Artificial Intelligence (AI)', 'Privacy Coins', 'Ethereum Ecosystem']"
